country,year,tfr,subgroup,bloc,gdp_per_capita_usd,urban_pop_pct,flfp_pct,remittances_gdp_pct,female_tert_educ_pct,gdp_per_capita_usd_interp,urban_pop_pct_interp,flfp_pct_interp,remittances_gdp_pct_interp,female_tert_educ_pct_interp
Belarus,2014,1.701985,Slavic,Rest of post-Soviet,8341.31809294883,76.3405227661133,58.566,1.56230434080626,108.158226045773,False,False,False,False,False
Belarus,2015,1.728063,Slavic,Rest of post-Soviet,5967.05595058777,76.6263885498047,58.668,1.64999344176125,107.505425804153,False,False,False,False,False
Belarus,2016,1.727121,Slavic,Rest of post-Soviet,5039.77560949445,76.8458709716797,58.75,2.04636934122529,103.779106864839,False,False,False,False,False
Belarus,2017,1.549854,Slavic,Rest of post-Soviet,5785.54491935194,77.0208206176758,58.591,2.29107483588373,99.7123512750371,False,False,False,False,False
Belarus,2018,1.457408,Slavic,Rest of post-Soviet,6360.037502312,77.2132720947266,58.081,2.40842124890758,92.1089007484019,False,False,False,False,False
Belarus,2019,1.389239,Slavic,Rest of post-Soviet,6837.77339645635,77.4550771852757,58.277,2.20275770985534,86.6836374430497,False,False,False,False,False
Belarus,2020,1.369058,Slavic,Rest of post-Soviet,6542.85579976768,77.7890385790408,57.884,1.65173922227239,85.3012885902356,False,False,False,False,False
Belarus,2021,1.370554,Slavic,Rest of post-Soviet,7489.71894713888,78.131086803694,58.024,1.95829075886733,84.1475046521849,False,False,False,False,False
Belarus,2022,1.326413,Slavic,Rest of post-Soviet,7994.64806074889,78.4732787892908,57.892,2.51903986221285,82.6085502906297,False,False,False,False,False
Belarus,2023,1.207569,Slavic,Rest of post-Soviet,7896.75388295584,78.8146420666327,57.417,2.32727539479038,78.4458374741992,False,False,False,False,False
Estonia,2000,1.347264,Baltic,Rest of post-Soviet,4070.60902410208,67.385529072627,52.575,0.0712666387766335,72.8319702148438,False,False,False,False,True
Estonia,2001,1.315406,Baltic,Rest of post-Soviet,4502.66614992392,67.3926456349791,51.986,0.176325007110157,72.8319702148438,False,False,False,False,False
Estonia,2002,1.353164,Baltic,Rest of post-Soviet,5343.18310760735,67.4090870965661,51.03,0.259819126338696,78.0993270874023,False,False,False,False,False
Estonia,2003,1.364778,Baltic,Rest of post-Soviet,7205.40703313243,67.4341760348669,52.274,0.518470913867566,81.3653411865234,False,False,False,False,False
Estonia,2004,1.464967,Baltic,Rest of post-Soviet,8916.0728274602,67.467351453949,53.198,1.37364276049152,83.4526672363281,False,False,False,False,False
Estonia,2005,1.514667,Baltic,Rest of post-Soviet,10414.6381183565,67.5080523578799,53.512,1.80452851603841,85.8611526489258,False,False,False,False,False
Estonia,2006,1.582784,Baltic,Rest of post-Soviet,12641.4800976473,67.5557177507269,54.656,2.30322072048345,86.9582290649414,False,False,False,False,False
Estonia,2007,1.684803,Baltic,Rest of post-Soviet,16745.4308011148,67.6097866365576,54.019,1.69834419061507,86.4641723632812,False,False,False,False,False
Estonia,2008,1.718613,Baltic,Rest of post-Soviet,18205.9064113446,67.6696980194394,54.784,1.7102671944637,86.0773468017578,False,False,False,False,False
Estonia,2009,1.700792,Baltic,Rest of post-Soviet,14712.4494217916,67.7348909034398,54.714,1.73195269947209,86.6803131103516,False,False,False,False,False
Estonia,2010,1.715837,Baltic,Rest of post-Soviet,14663.7041018705,67.8048042926262,55.069,1.8289159181023,86.5966186523438,False,False,False,False,False
Estonia,2011,1.615645,Baltic,Rest of post-Soviet,17555.5455239426,67.8775556334506,55.617,1.88230425106787,87.6725387573242,False,False,False,False,False
Estonia,2012,1.561469,Baltic,Rest of post-Soviet,17568.2137969714,67.9629593320316,55.38,1.98247424575578,89.1516571044922,False,False,False,False,False
Estonia,2013,1.5239,Baltic,Rest of post-Soviet,19310.3874900757,68.0923458296768,55.341,2.21914951049391,91.3113708496094,False,False,False,False,False
Estonia,2014,1.542711,Baltic,Rest of post-Soviet,20581.7898991695,68.2668382808032,54.54,2.01038525239817,92.3339004516602,False,False,False,False,False
Estonia,2015,1.580458,Baltic,Rest of post-Soviet,17722.1557669523,68.4796609690553,55.747,1.96158904837248,89.8572006225586,False,False,False,False,False
Estonia,2016,1.603494,Baltic,Rest of post-Soviet,18666.3736521706,68.724038178078,56.295,1.98070961291692,87.7629165649414,False,False,False,False,False
Estonia,2017,1.595724,Baltic,Rest of post-Soviet,20851.5223496861,68.9931941915158,57.006,1.83873745060341,86.8601989746094,False,False,False,False,False
Estonia,2018,1.670176,Baltic,Rest of post-Soviet,23618.1361254581,69.2803532930133,57.281,1.82689423284705,86.4550094604492,False,False,False,False,False
Estonia,2019,1.661437,Baltic,Rest of post-Soviet,24021.2501413306,69.5787397662154,57.34,1.70019299478304,87.2835311889648,False,False,False,False,False
Estonia,2020,1.587592,Baltic,Rest of post-Soviet,23933.9939421065,69.8815778947665,57.133,1.59281791364911,87.1761779785156,False,False,False,False,False
Estonia,2021,1.59408,Baltic,Rest of post-Soviet,27951.1659277744,70.1777274135822,57.777,1.58570663884137,88.8946762084961,False,False,False,False,False
Estonia,2022,1.41,Baltic,Rest of post-Soviet,28340.3826549406,70.4892333736738,60.138,1.22967848244244,86.7908935546875,False,False,False,False,False
Estonia,2023,1.35,Baltic,Rest of post-Soviet,30264.0064885057,70.6770085523126,61.049,1.17495352017049,81.3784027099609,False,False,False,False,False
Georgia,2000,1.609324,Caucasus,Rest of post-Soviet,749.908534993961,52.4935999592259,68.205,6.73529202312621,39.1737403869629,False,False,False,False,False
Georgia,2001,1.579177,Caucasus,Rest of post-Soviet,801.98383707929,52.4098165040349,67.319,6.79115752466275,40.0761413574219,False,False,False,False,False
Georgia,2002,1.570594,Caucasus,Rest of post-Soviet,853.526171868939,52.4127676027039,66.464,6.66503181205268,43.0371513366699,False,False,False,False,False
Georgia,2003,1.551747,Caucasus,Rest of post-Soviet,1010.03151630868,52.5144705663341,65.003,6.22476000287562,43.2041015625,False,False,False,False,False
Georgia,2004,1.565929,Caucasus,Rest of post-Soviet,1305.04748557208,52.7173199317225,64.224,6.99638215069328,44.0196800231934,False,False,False,False,False
Georgia,2005,1.583265,Caucasus,Rest of post-Soviet,1642.78359414797,53.0036280624359,63.093,6.95697266099558,49.0268402099609,False,False,False,False,False
Georgia,2006,1.616842,Caucasus,Rest of post-Soviet,1996.02013272284,53.3593916521584,62.089,8.09978657953664,43.1696281433105,False,False,False,False,False
Georgia,2007,1.6968,Caucasus,Rest of post-Soviet,2635.36650276116,53.7706073945741,60.953,8.68054072402569,42.0736694335938,False,False,False,False,False
Georgia,2008,1.831635,Caucasus,Rest of post-Soviet,3324.7537205015,54.2232719833673,60.721,8.3236359191983,40.7785987854004,False,False,False,False,False
Georgia,2009,1.9926,Caucasus,Rest of post-Soviet,2822.68939668797,54.7033821122222,60.943,10.3243983088381,30.7644805908203,False,False,False,False,False
Georgia,2010,1.9728,Caucasus,Rest of post-Soviet,3281.72930937343,55.1969344748228,60.384,9.52719496152171,35.4432914618605,False,False,False,False,False
Georgia,2011,1.915175,Caucasus,Rest of post-Soviet,4119.66818307193,55.6899257648533,59.769,9.99835475121327,38.3894771843667,False,False,False,False,False
Georgia,2012,1.929131,Caucasus,Rest of post-Soviet,4530.69533409431,56.1683526759979,59.313,10.4775310757486,37.2198781059541,False,False,False,False,False
Georgia,2013,1.992728,Caucasus,Rest of post-Soviet,4712.00229382665,56.6182119019407,59.008,11.1047071149006,45.0691336488554,False,False,False,False,False
Georgia,2014,2.18,Caucasus,Rest of post-Soviet,4830.33486170249,57.0237612994258,58.811,11.056847673479,50.8549589145805,False,False,False,False,False
